1981,37.4,37.1,44.1,46.5,53.3,56.8,63.8,68.7,58.9,46.8,40.9,32.7,48.9
1982,29.5,34.3,40.6,43.6,53.0,63.1,64.1,65.1,58.5,47.8,35.1,31.7,47.2
1983,36.8,39.3,44.3,47.1,56.2,59.1,62.5,66.6,55.3,47.9,41.2,23.9,48.4
1984,33.1,37.3,43.7,45.3,50.5,58.0,65.9,65.7,55.9,45.3,37.6,26.0,47.0
1985,27.6,30.0,39.0,48.0,55.2,60.5,70.7,63.9,54.5,46.7,26.8,25.2,45.7
1986,34.8,35.4,45.0,46.1,54.8,64.3,62.7,69.9,55.8,50.9,39.3,32.5,49.3
1987,31.1,38.5,43.4,51.1,56.6,62.8,65.0,65.3,61.9,51.1,42.0,31.1,50.0
1988,30.5,37.6,41.8,49.1,54.0,59.5,65.8,65.3,58.7,53.5,39.9,32.5,49.0
1989,33.2,26.9,39.0,50.2,53.7,62.6,64.8,63.8,60.2,48.6,41.4,34.6,48.3
1990,36.0,33.2,43.0,50.7,53.1,59.6,68.8,67.2,63.1,46.4,41.3,25.7,49.0
1991,29.6,41.8,39.7,47.0,52.4,56.9,66.3,67.4,61.4,48.2,38.9,36.0,48.8
1992,35.9,41.0,46.9,49.9,58.0,65.6,66.1,66.9,57.0,50.0,38.6,29.0,50.4
1993,25.7,31.4,40.8,46.9,59.2,58.4,59.7,64.0,59.1,50.9,33.7,33.3,46.9
1994,37.8,33.5,44.1,50.7,56.5,59.9,69.0,66.5,62.4,48.7,35.6,33.3,49.8
1995,33.7,39.2,41.8,47.2,56.8,60.6,66.8,62.1,62.3,46.5,42.4,32.5,49.3
1996,30.8,32.9,41.4,48.5,50.8,59.6,68.2,66.3,56.5,47.6,37.1,29.4,47.4
1997,31.7,35.7,41.1,46.0,56.7,59.3,65.3,68.2,60.8,48.2,41.4,33.9,49.0
1998,33.8,39.9,43.2,48.0,55.2,61.0,70.5,68.1,63.3,48.6,41.8,32.0,50.5
1999,35.9,36.9,40.8,46.2,51.1,58.7,64.0,67.4,58.3,48.1,43.0,36.0,48.9
2000,32.0,36.6,41.2,50.0,53.7,60.7,65.2,64.9,57.7,48.1,34.2,30.7,47.9
